//////////////////////////////////////////////// SUNNY
// Amb     Amb_Obj    Amb_bl     Amb_Obj_bl	Dir          Sky top			Sky bot		SunCore 		SunCorona   SunSz  SprSz	SprBght Shdw LightShd  PoleShd 	FarClp 	 FogSt 	LightOnGround	LowCloudsRGB TopCloudRGB BottomCloudRGB		BlurRGB					WaterRGBA
// Midnight
55 55 45   95 95 95   55 55 45   55 55 45   255 255 255  0 0 5			05 05 05	255 255 0       5 0 0       1.0    1.0      1.0		200     100    0		2000.0	 100.0	1.0				30 20 0		23 32 33	3 3 3     			056  038  000			85  85  65  192
// 1AM
55 55 45   95 95 95   55 55 45   55 55 45   255 255 255  0 0 5			0 0 15		255 155 0      	255 0 0     1.0    1.0      1.0     200     100    0		2000.0   100.0	1.0				30 20 0		0 0 0		31 42 50			056  038  000			85  85  66  192
// 2AM
55 55 45   95 95 95   55 55 45   55 55 45   255 255 255  0 0 5			0 0 15		255 128 0    	255 128 0   1.0    1.0      1.0     200     100    0		2000.0   100.0	1.0				30 20 0		0 0 0		35 46 50			056  038  000			85  85  66  192
// 3AM
55 55 45   95 95 95   55 55 45   55 55 45   255 255 255  0 0 5  			0 0 15		255 128 0      	255 0 0     1.0    1.0      1.0    	200     100    0		2000.0   100.0	1.0				30 20 0		0 0 0		33 42 50			056  038  000			85  85  66  192
// 4AM
55 55 45   95 95 95   55 55 45   55 55 45   255 255 255  0 0 5  			0 0 0		255 128 0    	255 128 0   1.0    1.0      1.0    	200     100    0		2000.0   100.0	1.0				30 20 0		0 0 0		50 30 0				056  038  000			85  85  66  192
// 5AM
80 74 70   95 95 95   80 74 70   80 74 70   255 255 255  80 80 128  		102 86 58	255 128 0      	255 0 0     8.4    1.0      1.0		150     100    0		2000.0   100.0	1.0				70 27 10	50 50 50		50 43 36			056  038  000			120  127  79  192
// 6AM
90 90 90   90 90 90   90 90 90   90 90 90   255 255 255  90 205 255  	    200 144 85	255 128 0    	255 128 0   8.4    1.0      0.9		140		100    0		2000.0   100.0	0.75			100 34 25	50 50 50	120 92 88			056  032  000			185 160 160 192
// 7AM	
90 90 90   90 90 90   90 90 90   90 90 90   255 255 255   90 205 255      187 146 116	255 128 0      	255 0 0     7.4    1.0      0.8		100		50     0		2000.0   100.0	0.5				120 40 40	100 90 100	159 142 106			056  028  000			145 170 170 192
// 8AM
125 120 85  100 90 85  100 90 85  100 90 85  255 255 255   90 205 255   	187 184 178	255 128 0    	255 128 0   4.4    1.0      0.7		140		0      50		2000.0   100.0	1.0				120 100 100	230 249 255	90 126 140			056  038  000			145 150 170 220
// 9AM
125 120 85   100 100 100   85 85 85   85 85 85   255 255 255   112 213 255     210 210 210	255 128 0      	255 0 0     4.4    1.0      0.3     140		0      100		2000.0   100.0	1.0				120 100 100	230 249 255	90 126 140			056  038  000			100 120 170 192
// 10AM
125 120 85   100 100 100   85 85 85   85 85 85   255 255 255   90 200 255      90 200 255	255 128 0    	255 128 0   2.5    1.0      0.3     150		0      150		2000.0   10.0	1.0				120 100 100	230 249 255	90 126 140			056  038  000			60 150 200 192
// 11AM
125 120 85   100 100 100   85 85 85   85 85 85   255 255 255   90 200 255      90 200 255	255 128 0      	255 0 0     2.5    1.0      0.3     150		0      150		2000.0   10.0	1.0				120 100 100	255 255 255	120 120 120			056  038  000			60 150 200 192
//
// Amb     Amb_Obj    Amb_bl     Amb_Obj_bl	Dir          Sky top			Sky bot		SunCore 		SunCorona   SunSz  SprSz	SprBght Shdw LightShd  PoleShd 	FarClp 	 FogSt 	LightOnGround	LowCloudsRGB TopCloudRGB BottomCloudRGB		BlurRGBA				WaterRGBA
// Midday
